PortfolioCode,Currency,TxnId,Type,TransactionDate,SettlementDate,Units,TradeToPortfolioRate,Strategy,CustodianAccount,BalanceSheetAllocation,ShareClassId
TPV_FixedIncomeHedging,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVFIH
TPV_GlobalEquities,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,150000000,1,Cash,MS,Investments,SC_USD_TPVGE
TPV_GlobalEquities,EUR,CASH_0002,FundsIn,01/12/2023,03/12/2023,50000000,1.2,Cash,MS,Investments,SC_EUR_TPVGE
TPV_GlobalEquities,ZAR,CASH_0003,FundsIn,01/12/2023,03/12/2023,70000000,0.0556,Cash,MS,Investments,SC_USD_TPVGE
TPV_GlobalEquities,USD,CASH_0004,FundsIn,01/12/2023,03/12/2023,20000000,1,Magnificent 7,MS,Investments,SC_USD_TPVGE
TPV_GlobalFixedIncome,USD,CASH_0001,FundsIn,01/12/2023,03/12/2023,1000000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,USD,CASH_0002,FundsIn,01/12/2023,03/12/2023,60000000,1,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,GBP,CASH_0003,FundsIn,01/12/2023,03/12/2023,40500000,1.46,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,EUR,CASH_0004,FundsIn,01/12/2023,03/12/2023,30500000,1.14,Cash,MS,Investments,SC_EUR_TPVGFI
TPV_GlobalFixedIncome,JPY,CASH_0005,FundsIn,01/12/2023,03/12/2023,15000000,0.007,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,DKK,CASH_0006,FundsIn,01/12/2023,03/12/2023,200000000,0.15,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,SEK,CASH_0007,FundsIn,01/12/2023,03/12/2023,10000000,0.1043,Cash,MS,Investments,SC_USD_TPVGFI
TPV_GlobalFixedIncome,ARS,CASH_0008,FundsIn,01/12/2023,03/12/2023,70000000,0.0008435,Cash,MS,Investments,SC_USD_TPVGFI
